"Player","Nation","Pos","Age","new_pound_value","Team","team_id","Fotmob_rating"
"Henrikh Mkhitaryan","ARM","MF","35","93654","Inter Milan","28","7.13"
"Marko Arnautović","AUT","FW","35","86346","Inter Milan","28","6.91"
"Matteo Darmian","ITA","DF","34","61731","Inter Milan","28","6.75"
"Yann Sommer","SUI","GK","35","61731","Inter Milan","28","7.02"
"Carlos Augusto","BRA","DF","25","54231","Inter Milan","28","6.97"
"Francesco Acerbi","ITA","DF","36","53462","Inter Milan","28","7.24"
"Yann Aurel Bisseck","GER","DF","23","36923","Inter Milan","28","6.89"
"Nicola Zalewski","POL","MF","23","17885","Inter Milan","28","6.5"
"Ismaël Bennacer","ALG","MF","26","135385","Marseille","22","7.11"
"Rafael Leão","POR","FW","25","123269","AC Milan","29","7.24"
"Tammy Abraham","ENG","FW","26","110962","AC Milan","29","6.59"
"Youssouf Fofana","FRA","MF","25","106923","AC Milan","29","6.94"
"Theo Hernández","FRA","DF","26","98654","AC Milan","29","7.16"
"Christian Pulisic","USA","FW,MF","25","98654","AC Milan","29","7.33"
"Ruben Loftus-Cheek","ENG","MF","28","98654","AC Milan","29","6.73"
"Samuel Chukwueze","NGA","FW","25","98654","AC Milan","29","6.86"
"Emerson","BRA","DF","25","89038","AC Milan","29","7.09"
"Fikayo Tomori","ENG","DF","26","86346","AC Milan","29","6.87"
"Mike Maignan","FRA","GK","29","69038","AC Milan","29","6.95"
"Matteo Gabbia","ITA","DF","24","64038","AC Milan","29","6.91"
"Luka Jović","SRB","FW,MF","26","61731","AC Milan","29","6.58"
"Strahinja Pavlović","SRB","DF","23","60577","AC Milan","29","7.19"
"Yunus Musah","USA","FW,MF","21","49231","AC Milan","29","6.64"
"Noah Okafor","SUI","FW,MF","24","49231","Napoli","30","6.28"
"Tijjani Reijnders","NED","MF","26","41923","AC Milan","29","7.24"
"Filippo Terracciano","ITA","RB","21","28462","AC Milan","29","6.47"
"Álex Jiménez","ESP","LB","19","21346","AC Milan","29","6.8"
"Malick Thiaw","GER","DF","22","19808","AC Milan","29","6.7"
"Romelu Lukaku","BEL","FW","31","147885","Napoli","30","6.95"
"Matteo Politano","ITA","FW,MF","30","114038","Napoli","30","7.12"
"David Neres","BRA","FW","27","106923","Napoli","30","6.9"
"Scott McTominay","SCO","MF","27","106923","Napoli","30","7.41"
"Giovanni Di Lorenzo","ITA","DF","30","106923","Napoli","30","7.23"
"Giacomo Raspadori","ITA","FW,MF","24","89038","Napoli","30","7.03"
"Alessandro Buongiorno","ITA","DF","25","89038","Napoli","30","7.27"
"Alex Meret","ITA","GK","27","71154","Napoli","30","7.1"
"Stanislav Lobotka","SVK","MF","29","69038","Napoli","30","7.18"
"Andre-Frank Zambo Anguissa","CMR","MF","28","66538","Napoli","30","7.31"
"Giovanni Simeone","ARG","FW","29","64038","Napoli","30","6.06"
"Leonardo Spinazzola","ITA","DF,FW","31","64038","Napoli","30","6.88"
"Billy Gilmour","SCO","MF","23","64038","Napoli","30","6.99"
"Amir Rrahmani","KVX","DF","30","61731","Napoli","30","7.2"
"Rafa Marín","ESP","CB","22","42692","Napoli","30","6.57"
"Mathías Olivera","URU","DF","26","36923","Napoli","30","7.15"
"Juan Jesus","BRA","DF","33","35577","Napoli","30","6.93"
"Dušan Vlahović","SRB","FW","24","427308","Juventus","31","6.99"
"Douglas Luiz","BRA","MF","26","160192","Juventus","31","6.61"
"Manuel Locatelli","ITA","MF,DF","26","117500","Juventus","31","7.22"
"Teun Koopmeiners","NED","MF","26","110962","Juventus","31","6.92"
"Francisco Conceição","POR","FW","21","89038","Juventus","31","6.78"
"Nicolás González","ARG","FW","26","88846","Juventus","31","7.07"
"Andrea Cambiaso","ITA","DF","24","85385","Juventus","31","6.96"
"Khéphren Thuram","FRA","MF","23","71154","Juventus","31","7.09"
"Michele Di Gregorio","ITA","GK","27","71154","Juventus","31","6.96"
"Weston McKennie","USA","MF,DF","25","61731","Juventus","31","6.98"
"Kenan Yıldız","TUR","SS","19","56923","Juventus","31","7.21"
"Federico Gatti","ITA","DF","26","49808","Juventus","31","7.03"
"Pierre Kalulu","FRA","DF","24","49231","Juventus","31","6.91"
"Timothy Weah","USA","DF,FW","24","49231","Juventus","31","6.93"
"Juan David Cabal","COL","DF","23","42692","Juventus","31","6.85"
"Samuel Mbangula","BEL","LW","21","10769","Juventus","31","6.92"
"Nicolò Savona","ITA","RB","21","7115","Juventus","31","6.87"
"Jonas Rouhi","SWE","LB","20","7115","Juventus","31","6.32"
