"Player","Nation","Pos","Age","new_pound_value","Team","team_id","Fotmob_rating"
"Achraf Hakimi","MAR","DF","25","279808","Paris S-G","20","7.94"
"Gianluigi Donnarumma","ITA","GK","25","244808","Paris S-G","20","6.81"
"Randal Kolo Muani","FRA","FW","25","174808","Juventus","20","7.05"
"Fabián Ruiz Peña","ESP","MF","28","174808","Paris S-G","20","7.37"
"João Neves","POR","DM","19","174808","Paris S-G","20","7.58"
"Warren Zaïre-Emery","FRA","CM","18","161538","Paris S-G","20","7.11"
"Lee Kang-in","KOR","FW,MF","23","139808","Paris S-G","20","7.34"
"Bradley Barcola","FRA","FW","21","126923","Paris S-G","20","7.55"
"Gonçalo Ramos","POR","FW","23","105769","Paris S-G","20","7.06"
"Vitinha","POR","MF","24","104808","Paris S-G","20","7.49"
"Willian Pacho","ECU","CB","23","87308","Paris S-G","20","7.17"
"Lucas Beraldo","BRA","DF","20","62885","Paris S-G","20","7.24"
"Matvei Safonov","RUS","GK","25","59423","Paris S-G","20","6.96"
"Désiré Doué","FRA","LW","19","52500","Paris S-G","20","7.41"
"Nuno Mendes","POR","DF","22","27692","Paris S-G","20","7.24"
"Arnau Tenas","ESP","GK","23","23077","Paris S-G","20","6.67"
"Aleksandr Golovin","RUS","FW,MF","28","110577","Monaco","21","7.46"
"Folarin Balogun","USA","FW","23","110577","Monaco","21","6.78"
"Thilo Kehrer","GER","DF","27","92885","Monaco","21","7.25"
"Takumi Minamino","JPN","MF,FW","29","88462","Monaco","21","6.99"
"Breel Embolo","SUI","FW","27","77308","Monaco","21","6.77"
"Denis Zakaria","SUI","MF","27","75000","Monaco","21","7.48"
"Mohammed Salisu","GHA","DF","25","59615","Monaco","21","7.23"
"Krépin Diatta","SEN","DF","25","57692","Monaco","21","6.44"
"Vanderson","BRA","DF","23","57692","Monaco","21","7.28"
"Caio Henrique Oliveira Silva","BRA","DF","27","51923","Monaco","21","7.22"
"Jordan Teze","NED","MF,DF","24","37500","Monaco","21","6.77"
"Wilfried Singo","CIV","DF","23","35385","Monaco","21","7.32"
"Radosław Majecki","POL","GK","24","25385","Monaco","21","6.81"
"Maghnes Akliouche","FRA","FW,MF","22","22115","Monaco","21","7.36"
"Philipp Köhn","SUI","GK","26","21154","Monaco","21","6.87"
"Lamine Camara","SEN","CM","21","17692","Monaco","21","7.37"
"George Ilenikhena","FRA","CF","18","13269","Monaco","21","6.41"
"Soungoutou Magassa","FRA","CB","21","13269","Monaco","21","6.93"
"Eliesse Ben Seghir","MAR","AM","19","11538","Monaco","21","7.05"
"Christian Mawissa","FRA","CB","19","11154","Monaco","21","6.88"
"Pierre-Emile Højbjerg","DEN","MF","29","115000","Marseille","22","7.52"
"Adrien Rabiot","FRA","MF","29","122308","Marseille","22","7.43"
"Geoffrey Kondogbia","CTA","DF,MF","31","103846","Marseille","22","7.11"
"Mason Greenwood","ENG","FW,MF","22","87500","Marseille","22","7.59"
"Leonardo Balerdi","ARG","DF","25","76923","Marseille","22","7.25"
"Valentin Rongier","FRA","MF,DF","29","76154","Marseille","22","7.11"
"Amine Harit","MAR","MF","27","59615","Marseille","22","7.07"
"Neal Maupay","FRA","FW","27","57692","Marseille","22","6.68"
"Gerónimo Rulli","ARG","GK","32","48846","Marseille","22","7.03"
"Amine Gouiri","ALG","FW","24","87500","Marseille","22","6.95"
"Luis Henrique","BRA","DF,FW","22","24615","Marseille","22","7.43"
"Quentin Merlin","FRA","DF","22","23077","Marseille","22","6.88"
"Pol Lirola","ESP","DF","26","19231","Marseille","22","6.46"
"Michael Amir Murillo","PAN","DF","28","19231","Marseille","22","7.21"
"Ulisses Garcia","SUI","DF","28","17308","Marseille","22","6.95"
"Jonathan Rowe","ENG","LW","21","17308","Marseille","22","6.57"
"Derek Cornelius","CAN","DF","26","13846","Marseille","22","6.78"
"André Gomes","POR","MF","31","104808","Lille","23","6.81"
"Thomas Meunier","BEL","DF","32","87308","Lille","23","7.1"
"Mitchel Bakker","NED","FW,DF","24","76923","Lille","23","6.84"
"Samuel Umtiti","FRA","DF","30","61538","Lille","23","6.18"
"Benjamin André","FRA","MF","33","41538","Lille","23","7.4"
"Jonathan David","CAN","FW","24","37500","Lille","23","7.31"
"Ismaily","BRA","DF","34","34615","Lille","23","7.05"
